test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.076955170755203
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.074351541620917
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.074351541620917
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.512430939226519
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.008023351606652
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.058940368793495
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.057165521445666
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.06152728202521799
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0.05926625805866901
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.05926625805866901
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.501841620626151
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.2028084714548803 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.00778062578585
