test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 NB - accuracy 0.7653571428571427
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 KNN K=3 accuracy 0.7297380952380952
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 C45 - accuracy 0.5534047619047621
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.001 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.01 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.1 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1.0 accuracy 0.7769761904761906
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=10.0 accuracy 0.7906904761904762
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=100 accuracy 0.7906904761904762
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1000 accuracy 0.7906904761904762
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 NB - accuracy 0.6900167823415629
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 KNN K=3 accuracy 0.6903040732734098
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 C45 - accuracy 0.6034184776425079
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=0.001 accuracy 0.5056007509386738
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=0.01 accuracy 0.5056007509386738
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=0.1 accuracy 0.7191321538286496
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=1.0 accuracy 0.7498654568210263
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=10.0 accuracy 0.7362177153259758
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=100 accuracy 0.7289617703948118
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=1000 accuracy 0.7078908294458983
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 NB - accuracy 0.6920196223620879
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 KNN K=3 accuracy 0.6949092928544983
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 C45 - accuracy 0.6319900037023324
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 SVM C=0.001 accuracy 0.6311366160681231
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 SVM C=0.01 accuracy 0.6311366160681231
