test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 NB - accuracy 0.7715952380952382
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 KNN K=3 accuracy 0.6940476190476189
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 C45 - accuracy 0.5318095238095237
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.001 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.01 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.1 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1.0 accuracy 0.7692380952380952
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=10.0 accuracy 0.7634285714285712
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=100 accuracy 0.7629285714285713
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1000 accuracy 0.7629285714285713
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 NB - accuracy 0.601233971594503
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 KNN K=3 accuracy 0.6663978494623656
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 C45 - accuracy 0.5999427864987636
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 SVM C=0.001 accuracy 0.5066873670289229
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 SVM C=0.01 accuracy 0.506740842964752
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 SVM C=0.1 accuracy 0.6899502616295783
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 SVM C=1.0 accuracy 0.7262221838882179
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 SVM C=10.0 accuracy 0.7109208786153756
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 SVM C=100 accuracy 0.6857679259387041
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9345 SVM C=1000 accuracy 0.6695569547467081
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 NB - accuracy 0.6384228063680119
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 KNN K=3 accuracy 0.6639429840799704
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 C45 - accuracy 0.6056182895223989
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 SVM C=0.001 accuracy 0.6311366160681231
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.4575 SVM C=0.01 accuracy 0.6311366160681231
