test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 NB - accuracy 0.7825714285714287
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 KNN K=3 accuracy 0.6993095238095238
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 C45 - accuracy 0.5514047619047618
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.001 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.01 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=0.1 accuracy 0.4955238095238096
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1.0 accuracy 0.7821904761904761
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=10.0 accuracy 0.7743333333333335
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=100 accuracy 0.7743333333333335
vectors_200_cosine_2_1 Classification Cities 0.981132075471698 SVM C=1000 accuracy 0.7743333333333335
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 NB - accuracy 0.6067098077141884
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 KNN K=3 accuracy 0.6565931846626463
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 C45 - accuracy 0.6004761633860507
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=0.001 accuracy 0.5056007509386738
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=0.01 accuracy 0.5163292183411083
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=0.1 accuracy 0.6504989191034245
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=1.0 accuracy 0.7332145295255433
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=10.0 accuracy 0.7200585959722381
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=100 accuracy 0.6983576060985324
vectors_200_cosine_2_1 Classification MetacriticMovies 0.9375 SVM C=1000 accuracy 0.6722769939697351
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 NB - accuracy 0.6404109589041097
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 KNN K=3 accuracy 0.6728767123287672
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 C45 - accuracy 0.5965753424657534
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 SVM C=0.001 accuracy 0.6328767123287671
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 SVM C=0.01 accuracy 0.6328767123287671
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 SVM C=0.1 accuracy 0.6328767123287671
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 SVM C=1.0 accuracy 0.6805479452054795
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 SVM C=10.0 accuracy 0.7478082191780822
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 SVM C=100 accuracy 0.7243835616438357
vectors_200_cosine_2_1 Classification MetacriticAlbums 0.45625 SVM C=1000 accuracy 0.7108219178082189
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 NB - accuracy 0.6014882418812989
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 KNN K=3 accuracy 0.6264087346024635
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 C45 - accuracy 0.5522866741321389
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 SVM C=0.001 accuracy 0.5480537513997762
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 SVM C=0.01 accuracy 0.5480537513997762
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 SVM C=0.1 accuracy 0.5529148936170214
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 SVM C=1.0 accuracy 0.7040179171332589
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 SVM C=10.0 accuracy 0.6878544232922732
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 SVM C=100 accuracy 0.6670582306830908
vectors_200_cosine_2_1 Classification AAUP 0.9864583333333332 SVM C=1000 accuracy 0.6645397536394176
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 NB - accuracy 0.4892331154684096
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 KNN K=3 accuracy 0.5538393246187363
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 C45 - accuracy 0.4993436819172112
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 SVM C=0.001 accuracy 0.488218954248366
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 SVM C=0.01 accuracy 0.488218954248366
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 SVM C=0.1 accuracy 0.5851770152505447
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 SVM C=1.0 accuracy 0.6205245098039214
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 SVM C=10.0 accuracy 0.5982897603485838
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 SVM C=100 accuracy 0.5728240740740741
vectors_200_cosine_2_1 Classification Forbes 0.8567823343848581 SVM C=1000 accuracy 0.5458714596949891
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 DBSCAN metric=cosine adjusted_rand_index 0.052250579774109004
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 DBSCAN metric=cosine adjusted_mutual_info_score 0.022670785620258
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 DBSCAN metric=cosine homogeneity_score 0.07655501446559199
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 DBSCAN metric=cosine completeness_score 0.053768682406375
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 DBSCAN metric=cosine v_measure_score 0.063169820350627
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 DBSCAN metric=cosine normalized_mutual_info_score 0.063169820350627
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 DBSCAN metric=cosine clustering_accuracy 0.738955464138795
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index -0.010109058265741
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 0.136728563466745
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0.166702423313419
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.116068673839463
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.136852241227131
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.136852241227131
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.542031836880701
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index -0.026945350410256
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.14042245623521302
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.16908846843805406
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.120249591295281
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0.14054714572400598
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.14054714572400598
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.5231622250044721
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index -0.029050204669239
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.14298189901230202
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.17184738789507698
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 0.122601697816126
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 0.143106448915023
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.143106448915023
vectors_200_cosine_2_2 Clustering citiesAndCountries_cluster 0.9793417993203364 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.521015918440351
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 DBSCAN metric=cosine adjusted_rand_index -0.000607790910614
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 DBSCAN metric=cosine adjusted_mutual_info_score 0.021860179402227
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 DBSCAN metric=cosine homogeneity_score 0.215312824008631
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 DBSCAN metric=cosine completeness_score 0.072226983831063
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 DBSCAN metric=cosine v_measure_score 0.108168646109424
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 DBSCAN metric=cosine normalized_mutual_info_score 0.108168646109424
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 DBSCAN metric=cosine clustering_accuracy 0.421500920810313
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 0.170179204175106
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 0.200017948371533
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0.20365562388157504
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.197016506827652
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.20028106043678
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.20028106043678
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.694290976058932
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.290584653432247
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.223279530009527
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.2405309217041149
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.208757853164578
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0.22352091413511604
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.22352091413511604
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.7569060773480659
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.11689378038673598
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.13909430957218802
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.14127614944004802
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 0.137530887809503
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 0.139378363261375
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.139378363261375
vectors_200_cosine_2_2 Clustering cities2000AndCountries_cluster 0.9735267034990792 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.659300184162063
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.8050967437470505 DBSCAN metric=cosine adjusted_rand_index 0.077836512146841
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.8050967437470505 DBSCAN metric=cosine adjusted_mutual_info_score 0.123177117169409
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.8050967437470505 DBSCAN metric=cosine homogeneity_score 0.262596670584984
vectors_200_cosine_2_2 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.8050967437470505 DBSCAN metric=cosine completeness_score 0.205567279665658
